Название,Дисциплина,Место,Дата,Ссылка
Просторы Ветра (3),Велозаезд,"Уссурийск, Приморский край",25 июля,https://orgeo.ru/event/46936
Baikal Bikepacking Race,Байкпакинг (815 км),Иркутск — оз. Байкал,2–8 августа,https://baikalbikepackingrace.ru/
Яхромский веломарафон,MTB XCM,"Ильинское, Московская обл.",16 августа,https://reg.place/events/5yakhromskiy-velomarathon-2026
На взлёт! (Велокросс),Велокросс,"Комсомольск-на-Амуре, Хабаровский край",16 августа,https://orgeo.ru/event/takeoff2026
Просторы Ветра (4),Велозаезд,"Уссурийск, Приморский край",29 августа,https://orgeo.ru/event/46937
Мангазея ТРИ ГОРЫ (осень),Шоссе / горная велогонка,"Красная Поляна, Сочи",18–20 сентября,https://events.topliga.ru/event/3mountains26/
Gran Fondo Руза,Шоссе Гран Фондо,"Руза, Московская обл.",20 сентября,https://www.granfondo.ru/
Московский веломарафон,MTB XCM,"СК «Альфа-Битца», Москва",13 сентября,https://reg.place/events/6moscow-velomarathon-2026
4-й этап Tri Niti Cup / BMC Race,MTB XCO,Нац. парк «Смоленское поозерье»,13 сентября,https://cup.marzocchi.ru/registratsiya/
BMC Junior Race,MTB XCO (юниоры),Смоленская область,13 сентября,https://cup.marzocchi.ru/tournaments/tourns_9.html
ГРАВИЙНОЕ КОЛЬЦО,Гравел,"Нижний Тагил, Свердловская обл.",13 сентября,https://orgeo.ru/event/gravel_velo_tagil
Кольцо Чандалаза,MTB,"Партизанск, Приморский край",12–13 сентября,https://orgeo.ru/event/46982
Просторы Ветра (5),Велозаезд,"Уссурийск, Приморский край",26 сентября,https://orgeo.ru/event/46938
Томилинский веломарафон,MTB XCM,"Томилинский лесопарк, Московская обл.",4 октября,https://reg.place/events/7tomilinskiy-velomarathon-2026
Ясное-Понятное,Велогонка,"Артём, Приморский край",4 октября,https://orgeo.ru/event/50017
Северная столица,Шоссе,Санкт-Петербург,дата уточняется,https://cyclingrace.ru/severnaya-stolica
Velokult / Тур де Кленово,Шоссе / Гравел / MTB,"Клёново, Подмосковье",весь сезон,http://tourdeklenovo.ru/
La Strada (серия),Шоссе / Оффроуд,"Москва, СПб и др. города",дата уточняется,https://stradarace.ru/
Fury Road,Гравел,Ленинградская область,дата уточняется,https://furyroad.ru/
Reverse Race,Гравел,Ленинградская область,дата уточняется,https://www.reverside.ru/
Tarusa Gravel Race,Гравел (80/52 км),"Таруса, Калужская обл.",дата уточняется,https://reg.place/events/tarusa-gravel-race
Пять колец Москвы,Многодневка / Шоссе,Москва,дата уточняется,https://fvsr.ru/highway/calendar
Веломарафон «Журавли» (Урал-марафон),Бревет / Шоссе (195/400 км),"Верхняя Пышма, Свердловская обл.",дата уточняется,https://uralvelo.ru/
